agv_id,from_state,to_state,transition_date,source_url,notes
fli_2014,,active,2014-03-01,https://futureoflife.org/about-us/our-history/,Initial state at founding (seeded by v0.3 migration)
asilomar_2017,,active,2017-01-05,https://futureoflife.org/open-letter/ai-principles/,Initial state at founding (seeded by v0.3 migration)
partnership_ai,,active,2016-09-28,https://partnershiponai.org/,Initial state at founding (seeded by v0.3 migration)
oecd_ai_principles,,active,2019-05-22,https://oecd.ai/en/ai-principles,Initial state at founding (seeded by v0.3 migration)
oecd_ai_observatory,,active,2020-02-27,https://oecd.ai/,Initial state at founding (seeded by v0.3 migration)
gpai_2020,,active,2020-06-15,https://gpai.ai/,Initial state at founding (seeded by v0.3 migration)
gpai_integrated,,active,2024-07-01,https://oecd.ai/en/gpai,Initial state at founding (seeded by v0.3 migration)
eu_hleg_ai,,active,2018-06-14,https://digital-strategy.ec.europa.eu/en/policies/expert-group-ai,Initial state at founding (seeded by v0.3 migration)
iso_iec_sc42,,active,2017-10-01,https://www.iso.org/committee/6794475.html,Initial state at founding (seeded by v0.3 migration)
unesco_ai_ethics,,active,2021-11-23,https://www.unesco.org/en/artificial-intelligence/recommendation-ethics,Initial state at founding (seeded by v0.3 migration)
g7_hiroshima_process,,active,2023-05-19,https://www.mofa.go.jp/policy/economy/g7_hiroshima/,Initial state at founding (seeded by v0.3 migration)
bletchley_summit,,active,2023-11-01,https://www.gov.uk/government/topical-events/ai-safety-summit-2023,Initial state at founding (seeded by v0.3 migration)
seoul_summit,,active,2024-05-21,https://www.gov.uk/government/topical-events/ai-seoul-summit-2024,Initial state at founding (seeded by v0.3 migration)
paris_action_summit,,active,2025-02-10,https://www.elysee.fr/en/sommet-pour-l-action-sur-l-ia,Initial state at founding (seeded by v0.3 migration)
uk_aisi,,active,2023-11-02,https://www.aisi.gov.uk/,Initial state at founding (seeded by v0.3 migration)
us_aisi,,active,2024-02-07,https://www.nist.gov/aisi,Initial state at founding (seeded by v0.3 migration)
japan_aisi,,active,2024-02-14,https://aisi.go.jp/,Initial state at founding (seeded by v0.3 migration)
singapore_ai_verify,,active,2023-06-07,https://aiverifyfoundation.sg/,Initial state at founding (seeded by v0.3 migration)
frontier_model_forum,,active,2023-07-26,https://www.frontiermodelforum.org/,Initial state at founding (seeded by v0.3 migration)
mlcommons_ai_safety,,active,2023-10-26,https://mlcommons.org/working-groups/ai-safety/,Initial state at founding (seeded by v0.3 migration)
coe_ai_convention,,active,2024-05-17,https://www.coe.int/en/web/artificial-intelligence/the-framework-convention-on-artificial-intelligence,Initial state at founding (seeded by v0.3 migration)
un_hlab_ai,,active,2023-10-26,https://www.un.org/ai-advisory-body,Initial state at founding (seeded by v0.3 migration)
un_scientific_panel,,active,2025-08-26,https://www.un.org/global-dialogue-ai-governance/en,Initial state at founding (seeded by v0.3 migration)
un_global_dialogue,,active,2025-08-26,https://www.un.org/global-dialogue-ai-governance/en,Initial state at founding (seeded by v0.3 migration)
itu_ai_for_good,,active,2017-06-07,https://aiforgood.itu.int/,Initial state at founding (seeded by v0.3 migration)
neurips_ml_safety,,active,2022-12-09,https://neurips.cc/Conferences/2022/Schedule?type=Workshop,Initial state at founding (seeded by v0.3 migration)
acm_facct,,active,2018-02-23,https://facctconference.org/,Initial state at founding (seeded by v0.3 migration)
aies_conference,,active,2018-02-02,https://www.aies-conference.com/,Initial state at founding (seeded by v0.3 migration)
caidp,,active,2020-09-15,https://www.caidp.org/,Initial state at founding (seeded by v0.3 migration)
cais,,active,2022-06-01,https://www.safe.ai/,Initial state at founding (seeded by v0.3 migration)
gpai_2020,active,absorbed,2024-07-01,https://oecd.ai/en/gpai,Integrated with OECD into GPAI Integrated Partnership
bletchley_summit,active,succeeded,2024-05-21,https://www.gov.uk/government/topical-events/ai-seoul-summit-2024,Succeeded by Seoul Summit
seoul_summit,active,succeeded,2025-02-10,https://www.elysee.fr/en/sommet-pour-l-action-sur-l-ia,Succeeded by Paris AI Action Summit
eu_hleg_ai,active,terminated,2020-07-17,https://digital-strategy.ec.europa.eu/en/policies/expert-group-ai,Concluded after publication of Assessment List for Trustworthy AI (ALTAI)
un_hlab_ai,active,terminated,2024-09-19,https://www.un.org/ai-advisory-body,Concluded with publication of Governing AI for Humanity final report
