agv_id,field_name,source_url,source_type,accessed_at,evidence_note,reviewer,confidence
fli_2014,entity_type,https://futureoflife.org/about-us/our-history/,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed entity_type against canonical reference at migration time,s00048ri,high
fli_2014,founded_date,https://futureoflife.org/about-us/our-history/,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed founded_date against canonical reference at migration time,s00048ri,high
fli_2014,current_state,https://futureoflife.org/about-us/our-history/,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed current_state against canonical reference at migration time,s00048ri,high
fli_2014,legal_character,https://futureoflife.org/about-us/our-history/,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed legal_character against canonical reference at migration time,s00048ri,high
asilomar_2017,entity_type,https://futureoflife.org/open-letter/ai-principles/,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed entity_type against canonical reference at migration time,s00048ri,high
asilomar_2017,founded_date,https://futureoflife.org/open-letter/ai-principles/,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed founded_date against canonical reference at migration time,s00048ri,high
asilomar_2017,current_state,https://futureoflife.org/open-letter/ai-principles/,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed current_state against canonical reference at migration time,s00048ri,high
asilomar_2017,legal_character,https://futureoflife.org/open-letter/ai-principles/,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed legal_character against canonical reference at migration time,s00048ri,high
partnership_ai,entity_type,https://partnershiponai.org/,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed entity_type against canonical reference at migration time,s00048ri,high
partnership_ai,founded_date,https://partnershiponai.org/,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed founded_date against canonical reference at migration time,s00048ri,high
partnership_ai,current_state,https://partnershiponai.org/,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed current_state against canonical reference at migration time,s00048ri,high
partnership_ai,legal_character,https://partnershiponai.org/,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed legal_character against canonical reference at migration time,s00048ri,high
oecd_ai_principles,entity_type,https://oecd.ai/en/ai-principles,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed entity_type against canonical reference at migration time,s00048ri,high
oecd_ai_principles,founded_date,https://oecd.ai/en/ai-principles,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed founded_date against canonical reference at migration time,s00048ri,high
oecd_ai_principles,current_state,https://oecd.ai/en/ai-principles,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed current_state against canonical reference at migration time,s00048ri,high
oecd_ai_principles,legal_character,https://oecd.ai/en/ai-principles,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed legal_character against canonical reference at migration time,s00048ri,high
oecd_ai_observatory,entity_type,https://oecd.ai/,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed entity_type against canonical reference at migration time,s00048ri,high
oecd_ai_observatory,founded_date,https://oecd.ai/,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed founded_date against canonical reference at migration time,s00048ri,high
oecd_ai_observatory,current_state,https://oecd.ai/,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed current_state against canonical reference at migration time,s00048ri,high
oecd_ai_observatory,legal_character,https://oecd.ai/,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed legal_character against canonical reference at migration time,s00048ri,high
gpai_2020,entity_type,https://gpai.ai/,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed entity_type against canonical reference at migration time,s00048ri,high
gpai_2020,founded_date,https://gpai.ai/,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed founded_date against canonical reference at migration time,s00048ri,high
gpai_2020,current_state,https://gpai.ai/,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed current_state against canonical reference at migration time,s00048ri,high
gpai_2020,legal_character,https://gpai.ai/,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed legal_character against canonical reference at migration time,s00048ri,high
gpai_integrated,entity_type,https://oecd.ai/en/gpai,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed entity_type against canonical reference at migration time,s00048ri,high
gpai_integrated,founded_date,https://oecd.ai/en/gpai,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed founded_date against canonical reference at migration time,s00048ri,high
gpai_integrated,current_state,https://oecd.ai/en/gpai,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed current_state against canonical reference at migration time,s00048ri,high
gpai_integrated,legal_character,https://oecd.ai/en/gpai,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed legal_character against canonical reference at migration time,s00048ri,high
eu_hleg_ai,entity_type,https://digital-strategy.ec.europa.eu/en/policies/expert-group-ai,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed entity_type against canonical reference at migration time,s00048ri,high
eu_hleg_ai,founded_date,https://digital-strategy.ec.europa.eu/en/policies/expert-group-ai,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed founded_date against canonical reference at migration time,s00048ri,high
eu_hleg_ai,current_state,https://digital-strategy.ec.europa.eu/en/policies/expert-group-ai,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed current_state against canonical reference at migration time,s00048ri,high
eu_hleg_ai,legal_character,https://digital-strategy.ec.europa.eu/en/policies/expert-group-ai,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed legal_character against canonical reference at migration time,s00048ri,high
iso_iec_sc42,entity_type,https://www.iso.org/committee/6794475.html,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed entity_type against canonical reference at migration time,s00048ri,high
iso_iec_sc42,founded_date,https://www.iso.org/committee/6794475.html,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed founded_date against canonical reference at migration time,s00048ri,high
iso_iec_sc42,current_state,https://www.iso.org/committee/6794475.html,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed current_state against canonical reference at migration time,s00048ri,high
iso_iec_sc42,legal_character,https://www.iso.org/committee/6794475.html,human_verification,2026-04-23,v0.3 seed migration: maintainer-confirmed legal_character against canonical reference at migration time,s00048ri,high
